the_geom,objectid,iso3,adm0_name,engtype0,adm1_name,type1,engtype1,adm2_name,type2,engtype2,adm3_name,type3,engtype3,source_dt,source,source2_dt,source2,globalid,shapestlen,shapestare,chiefdom,district,female,household_female,household_male,household_total,male,province,special_population_female,special_population_male,special_population_total,total,cartodb_id,created_at,updated_at,merge_var,percent_pop_1985,percent_pop_2004,intercensal_change_1985_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2004,chiefdom_weight,total_estimated_2015
"0106000020E6100000010000000103000000010000000D010000667E350708EE26C0B3E89D0AB85720402A86AB0320EE26C0E09A3BFA5F562040B9B88D06F0EE26C0F55D11FC6F552040F82F1004C8F026C0F3DE1802805320402D58AA0B78F126C02D58AA0B785120401072DEFFC7F126C09602D2FE07502040",110,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Bagbwe","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{1D0D675E-E469-468E-900B-5E47D189EF43}",.7329986,.0190269,"Bagbwe","Bo",5809,5809,5095,10904,5095,"Southern",,,,10904,113,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.0347581,14013.84
"0106000020E610000001000000010300000001000000EB000000506859F78FCD26C00DA0DFF76F1E1F40AF69A510C8CD26C090B1DAFCBF1A1F4014C3D50110CF26C06CF4311F10181F40F6B0170AD8CE26C02E2AA913D0141F405F5B3FFD67CD26C0E3BF401020131F403BA583F57FCE26C0416E861BF0091F40",123,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Wonde","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{23C9BF69-9F02-4EF6-BED9-7FE1A6FE8037}",1.076863,.0219262,"Wonde","Bo",5098,5098,4795,9893,4795,"Southern",,,,9893,125,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.0315354,12714.5
"0106000020E61000000100000001030000000100000081000000017FF8F9EFA127C0588B4F01304E2040BC378600E0A027C0506859F78F4D2040E9E923F0879F27C0506859F78F4D204046197101689C27C039799109F84D20400E1FD8F15F9827C075711B0DE04D2040843DEDF0D79427C0550C5707404C2040",114,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Gbo","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{82940869-1AB7-4707-BE0E-FA85B71E2B9E}",.5375345,.0155746,"Gbo","Bo",2736,2736,2314,5050,2314,"Southern",,,,5050,110,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.0160976,6490.27
"0106000020E610000001000000010300000001000000560000001470CFF3A75D27C01C93C5FD474E20401244DD07205D27C06D4E2503404D2040719F1C05885A27C0791C06F3574820409F51BAF42F5927C075711B0DE0452040FFFFFFFFFF5727C01516DC0F7840204060DA37F7575727C0C8586DFE5F3D2040",120,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Selenga","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{17CAB0CD-45D5-46A8-8369-2DE591118DE3}",.4039137,.0079314,"Selenga","Bo",2856,2856,2556,5412,2556,"Southern",,,,5412,15,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.0172515,6955.513
"0106000020E610000001000000010300000001000000E8000000A621AAF0672027C0A2F5B704E07F1F400FC5E40D302327C05F2D3E05C0781F404DE960FD9F2327C0DBF63DEAAF771F400B21E7FD7F2427C02D2AA913D0741F40667E3507082627C0DD1B4300706C1F409283D904182627C06F732A19006A1F40",115,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Jaiama Bongor","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{5FD2A0D3-5149-4108-B57D-AFF61DB99829}",.986648,.0360908,"Jaiama Bongor","Bo",13359,13359,12708,26067,12708,"Southern",,,,26067,19,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.0830924,33501.36
"",,"","","","","","","","",,"","",,"","","","","",,,"Bo Town","Bo",77206,76931,71774,148705,72751,"Southern",275,977,1252,149957,163,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo Town",1.7,3.01,.0276,210071,214117,218280,222561,226961,231494,236155,240937,245867,250960,149957,1,250960
"0106000020E610000001000000010300000001000000360200007E6DFDF49FCD27C09BA6CF0EB8C62340B0C398F4F7CA27C0C8586DFE5FC52340F8DC09F65FC727C0AB72A1F2AFC52340D64B530438C527C035FA980F08C423408C60E3FA77C527C0803FFCFCF7C023408BB3E908E0C627C037268BFB8FBC2340",152,"SLE","Sierra Leone","Country","Northern","Province","Region","Bombali","District",999999,"Tambakha","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{EB810666-F235-45D6-8915-E601A76173CA}",2.317025,.197026,"Tambakha","Bombali",9190,9128,8179,17307,8485,"Northern",62,306,368,17675,151,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bombali",8,7,0,289753,297403,305310,313480,321919,330650,339673,348983,358623,368621,325550,.0542927,20013.44
"0106000020E61000000100000001030000000100000055020000E0ED4108C80728C0466C770FD07D224025E2ADF36F0728C0550C5707407C224068AA27F38F0628C0729F1C05887A224068AA27F38F0628C0BC378600E0782240657E3507080628C0C0DB831090772240B29597FC4F0628C00B74ED0BE8752240",111,"SLE","Sierra Leone","Country","Northern","Province","Region","Bombali","District",999999,"Gbendembu Ngowa","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{C4F36AC8-3791-4C23-BB2F-94FEF80F61CF}",1.634734,.0648999,"Gbendembu Ngowa","Bombali",15976,15976,13995,29971,13995,"Northern",,,,29971,115,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bombali",8,7,0,289753,297403,305310,313480,321919,330650,339673,348983,358623,368621,325550,.0920627,33936.23
"0106000020E610000001000000010300000001000000330100009900C3F2E7D327C0BF09850838D4214027B4ACFBC7D227C012F1D6F9B7D321401642CEFBFFD027C012F1D6F9B7D321409502D2FE07D027C09A00C3F2E7D32140E09A3BFA5FCE27C08311FB0450D4214020E4BCFF8FCB27C0FA010F0C20D42140",135,"SLE","Sierra Leone","Country","Northern","Province","Region","Bombali","District",999999,"Paki Masabong","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{E9E1FACA-9799-4407-BF19-6F63319E0D96}",.8929107,.0217248,"Paki Masabong","Bombali",9376,9376,7944,17320,7944,"Northern",,,,17320,119,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bombali",8,7,0,289753,297403,305310,313480,321919,330650,339673,348983,358623,368621,325550,.0532023,19611.47
"0106000020E6100000010000000103000000010000009D01000035A79201A01228C0D6F84CF6CFCB214091B1DAFCBF1228C02FD7A20568CB2140719F1C05881228C02FD7A20568CB2140BB8A8C0E481228C08AE1EA0088CB21405C8940F50F1228C04EE960FD9FCB2140A674B0FECF1128C011F1D6F9B7CB2140",105,"SLE","Sierra Leone","Country","Northern","Province","Region","Bombali","District",999999,"Bombali Sebora","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{8EAC5613-20F2-43FD-B279-7CB80A9ACEAE}",.8519427,.0228174,"Bombali Sebora","Bombali",11984,11841,10511,22352,10818,"Eastern",143,307,450,22802,108,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bombali",8,7,0,289753,297403,305310,313480,321919,330650,339673,348983,358623,368621,325550,.0700415,25818.76
