Province,District,Chiefdom,Household Total,Household Male,Household Female,Special Population Total,Special Population Male,Special Population Female,Total,Male,Female
Northern,Bombali,Sella Limba.........,"52,524","28,317","24,207",55,21,34,"52,579","28,338","24,241"
Northern,Bombali,Tambakka............,"17,307","8,179","9,128",368,306,62,"17,675","8,485","9,190"
Northern,Bombali,Makeni Town.........,"81,715","39,368","42,347","1,125",649,476,"82,840","40,017","42,823"
Northern,Bombali,Total...........,"406,392","195,345","211,047","1,998","1,283",715,"408,390","196,628","211,762"
Northern,Kambia,Bramaia.............,"25,392","11,715","13,677",-,-,-,"25,392","11,715","13,677"
Northern,Kambia,Gbinle-Dixing.......,"19,569","9,423","10,146",-,-,-,"19,569","9,423","10,146"
Northern,Kambia,Magbema.............,"67,125","32,010","35,115",86,49,37,"67,211","32,059","35,152"
Northern,Kambia,Mambolo.............,"33,825","15,889","17,936",-,-,-,"33,825","15,889","17,936"
Northern,Kambia,Masungbala..........,"28,502","13,389","15,113",-,-,-,"28,502","13,389","15,113"
Northern,Kambia,Samu................,"56,857","26,839","30,018",-,-,-,"56,857","26,839","30,018"
Northern,Kambia,Tonko Limba.........,"39,106","18,502","20,604",-,-,-,"39,106","18,502","20,604"
Northern,Kambia,Total...........,"270,376","127,767","142,609",86,49,37,"270,462","127,816","142,646"
Northern,Koinadugu,D/Sinkunia..........,"13,921","6,732","7,189",-,-,-,"13,921","6,732","7,189"
Northern,Koinadugu,Diang...............,"19,700","9,095","10,605",-,-,-,"19,700","9,095","10,605"
Northern,Koinadugu,F/Dembelia..........,"14,552","6,938","7,614",-,-,-,"14,552","6,938","7,614"
Northern,Koinadugu,Kasunko.............,"20,357","9,227","11,130",-,-,-,"20,357","9,227","11,130"
Northern,Koinadugu,Mango...............,"29,294","13,744","15,550",-,-,-,"29,294","13,744","15,550"
Northern,Koinadugu,Neya................,"33,426","15,379","18,047",-,-,-,"33,426","15,379","18,047"
Northern,Koinadugu,Nieni...............,"39,107","18,091","21,016",-,-,-,"39,107","18,091","21,016"
Northern,Koinadugu,Sengbe..............,"22,458","10,482","11,976",-,-,-,"22,458","10,482","11,976"
Northern,Koinadugu,Sulima..............,"20,062","9,675","10,387",-,-,-,"20,062","9,675","10,387"
Northern,Koinadugu,W/Wara Bafodia......,"25,695","12,343","13,352",18,16,2,"25,713","12,359","13,354"
Northern,Koinadugu,W/Wara Yagala.......,"27,111","12,872","14,239",57,42,15,"27,168","12,914","14,254"
