"Province","District","Chiefdom","Household.Total","Household.Male","Household.Female","Special.Population.Total","Special.Population.Male","Special.Population.Female","Total","Male","Female"
"Northern","Koinadugu","Mango","29294","13744","15550","","","","29294","13744","15550"
"Northern","Koinadugu","Neya","33426","15379","18047","","","","33426","15379","18047"
"Northern","Koinadugu","Nieni","39107","18091","21016","","","","39107","18091","21016"
"Northern","Koinadugu","Sengbe","22458","10482","11976","","","","22458","10482","11976"
"Northern","Koinadugu","Sulima","20062","9675","10387","","","","20062","9675","10387"
"Northern","Koinadugu","W/Wara Bafodia","25695","12343","13352","18","16","2","25713","12359","13354"
"Northern","Koinadugu","W/Wara Yagala","27111","12872","14239","57","42","15","27168","12914","14254"
"Northern","Koinadugu","Total","265683","124578","141105","75","58","17","265758","124636","141122"
"Northern","Port Loko","Bkm","32174","15096","17078","","","","32174","15096","17078"
"Northern","Port Loko","Buya Romende","27881","13230","14651","","","","27881","13230","14651"
"Northern","Port Loko","Dibia","15077","7123","7954","","","","15077","7123","7954"
"Northern","Port Loko","Kaffu Bullom","69026","32929","36097","611","544","67","69637","33473","36164"
"Northern","Port Loko","Koya-Western","63614","29519","34095","","","","63614","29519","34095"
"Northern","Port Loko","Lokomasama","72348","33469","38879","","","","72348","33469","38879"
"Northern","Port Loko","Maforki","67927","31724","36203","115","84","31","68042","31808","36234"
"Northern","Port Loko","Marampa","36107","17248","18859","1","1","","36108","17249","18859"
"Northern","Port Loko","Masimera","32845","15232","17613","","","","32845","15232","17613"
"Northern","Port Loko","S/Magbolontor","15088","7017","8071","","","","15088","7017","8071"
"Northern","Port Loko","TMS","20932","9732","11200","","","","20932","9732","11200"
"Northern","Port Loko","Total","453019","212319","240700","727","629","98","453746","212948","240798"
"Northern","Tonkolili","Gbonkolenken","47665","21925","25740","173","107","66","47838","22032","25806"
"Northern","Tonkolili","Kafe Simira","19817","9307","10510","","","","19817","9307","10510"
"Northern","Tonkolili","Kalansogoia","16406","7604","8802","","","","16406","7604","8802"
"Northern","Tonkolili","Kholifa Mabang","12437","5721","6716","23","15","8","12460","5736","6724"
"Northern","Tonkolili","Kholifa Rowalla","47391","22344","25047","284","199","85","47675","22543","25132"
"Northern","Tonkolili","Kunike Barina","13411","6581","6830","","","","13411","6581","6830"
"Northern","Tonkolili","Kunike Sanda","42968","20280","22688","","","","42968","20280","22688"
"Northern","Tonkolili","Malal Mara","14025","6478","7547","","","","14025","6478","7547"
"Northern","Tonkolili","Sambaya","22728","10479","12249","","","","22728","10479","12249"
"Northern","Tonkolili","Tane","22242","10318","11924","","","","22242","10318","11924"
"Northern","Tonkolili","Yoni","87366","40310","47056","261","151","110","87627","40461","47166"
"Northern","Tonkolili","Total","346456","161347","185109","741","472","269","347197","161819","185378"
"Southern","Bo","Badjia","7688","3705","3983","10","8","2","7698","3713","3985"
"Southern","Bo","Bagbo","21887","10593","11294","2947","1462","1485","24834","12055","12779"
"Southern","Bo","Bagbwe","10904","5095","5809","","","","10904","5095","5809"
"Southern","Bo","Baoma","44211","22969","21242","6726","3337","3389","50937","26306","24631"
"Southern","Bo","Bumpe Ngawo","35642","17129","18513","","","","35642","17129","18513"
"Southern","Bo","Gbo","5050","2314","2736","","","","5050","2314","2736"
"Southern","Bo","Jaiama-Bongor","26067","12708","13359","","","","26067","12708","13359"
"Southern","Bo","Kakua","29174","13968","15206","596","558","38","29770","14526","15244"
"Southern","Bo","Komboya","15616","7544","8072","","","","15616","7544","8072"
"Southern","Bo","Lugbu","23639","12184","11455","","","","23639","12184","11455"
"Southern","Bo","Niawa Lenga","11109","5214","5895","","","","11109","5214","5895"
"Southern","Bo","Selenga","5412","2556","2856","","","","5412","2556","2856"
"Southern","Bo","Tikonko","36223","18306","17917","3176","1612","1564","39399","19918","19481"
"Southern","Bo","Valunia","17741","8691","9050","","","","17741","8691","9050"
"Southern","Bo","Wunde","9893","4795","5098","","","","9893","4795","5098"
"Southern","Bo","Bo Town","148705","71774","76931","1252","977","275","149957","72751","77206"
"Southern","Bo","Total","448961","219545","229416","14707","7954","6753","463668","227499","236169"
"Southern","Bonthe","Bendu Cha","4680","2293","2387","","","","4680","2293","2387"
"Southern","Bonthe","Bum","18827","9060","9767","","","","18827","9060","9767"
"Southern","Bonthe","Dema","5301","2555","2746","","","","5301","2555","2746"
"Southern","Bonthe","Imperi","17547","8694","8853","29","29","","17576","8723","8853"
